Name,geo_lat,geo_lon,population,year
Макаров,48.6236334,142.7803205,6788,1892
Невельск,46.6526899,141.8630725,11682,1946
Оха,53.5867839,142.9412411,23007,1908
Поронайск,49.238866,143.1008333,16461,1869
Северо-Курильск,50.6730577,156.1282211,2381,1875
Томари,47.7620108,142.0615837,4537,1870
Углегорск,49.0815774,142.0692639,11880,1900
Холмск,47.0408423,142.041688,30936,1870
Южно-Сахалинск,46.9591631,142.737976,181727,1882
Алапаевск,57.8475571,61.6693817,38198,1639
Арамиль,56.694632,60.8343125,14227,1675
Артемовский,57.3384177,61.8947443,32878,1665
Асбест,57.0052277,61.4581156,70067,1889
Березовский,56.9095924,60.8180907,51583,1748
Богданович,56.7764795,62.0463679,31752,1885
Верхний Тагил,57.3763758,59.9517653,11843,1716
Верхняя Пышма,56.9758903,60.5650383,58707,1854
Верхняя Салда,58.0465803,60.5560164,46240,1778
Верхняя Тура,58.3643685,59.8265235,9468,1737
Верхотурье,58.8622073,60.8103945,8815,1597
Волчанск,59.9351707,60.0798618,10008,1956
Дегтярск,56.7048206,60.079138,15521,1914
Екатеринбург,56.8385216,60.6054911,1377738,1723
Заречный,56.8102931,61.3380029,26803,1955
Ивдель,60.6944496,60.4245069,17764,1831
Ирбит,57.6838362,63.057675,38352,1631
Каменск-Уральский,56.414962,61.9188674,174710,1682
Камышлов,56.8465034,62.7119766,26875,1668
Карпинск,59.7665925,60.0011703,29118,1759
Качканар,58.7051762,59.4839155,42563,1957
Кировград,57.4299433,60.0624051,21959,1661
Краснотурьинск,59.7636635,60.1934525,59701,1758
Красноуральск,58.348651,60.0408764,24973,1925
Красноуфимск,56.612387,57.7636637,39765,1736
Кушва,58.2826013,59.7645766,33027,1735
Лесной,58.6348516,59.7981565,52464,1947
Михайловск,56.4370039,59.1137316,9215,1805
Невьянск,57.49131,60.2183429,25147,1701
Нижние Серги,56.6544959,59.2953035,11217,1743
Нижний Тагил,57.910126,59.9812853,361883,1722
Нижняя Салда,58.0748272,60.7025418,17969,1760
Нижняя Тура,58.6309267,59.8520344,21596,1754
Новая Ляля,59.0538977,60.5944825,12400,1903
Новоуральск,57.2472567,60.0956714,91813,1941
Первоуральск,56.9080085,59.942926,149800,1732
Полевской,56.4956952,60.2365298,64316,1718
Ревда,56.7986319,59.9071591,61713,1734
Реж,57.3717477,61.3833842,38709,1773
Североуральск,60.1533109,59.9525245,29279,1758
Серов,59.6047724,60.5753882,99381,1893
Среднеуральск,56.9918901,60.4771018,20357,1931
Сухой Лог,56.9076193,62.0358093,34836,1710
Сысерть,56.5005715,60.8190003,20594,1732
Тавда,58.0434672,65.274217,35421,1910
Талица,57.0122687,63.7320757,18339,1732
Туринск,58.0393524,63.6981973,17990,1600
Асино,56.9907085,86.1765257,25614,1896
Кедровый,57.561869,79.5677821,2451,1982
Колпашево,58.3114253,82.9025829,24126,1600
Северск,56.6031285,84.8809926,108466,1949
Стрежевой,60.732895,77.604122,42216,1966
Томск,56.4845804,84.9481582,522940,1604
Ак-Довурак,51.178452,90.5985129,13469,1964
Кызыл,51.7191047,94.4376882,109906,1914
Туран,52.1449619,93.9173396,4988,1885
Чадан,51.2844502,91.5788609,9037,1873
Шагонар,51.5346393,92.9199675,10958,1888
Заводоуковск,56.5027463,66.5513613,25657,1729
Ишим,56.1104858,69.4795776,69567,1687
Тобольск,58.2017299,68.2538558,99698,1587
Тюмень,57.1529744,65.5344099,581758,1586
Ялуторовск,56.6547289,66.3122992,36494,1659
Амурск,50.2344147,136.8792444,42977,1958
Бикин,46.8185743,134.2550718,17156,1895
Вяземский,47.5353379,134.7553856,14556,1894
Комсомольск-на-Амуре,50.5498936,137.0079408,263906,1932
Николаевск-на-Амуре,53.1460657,140.7111367,22773,1850
Советская Гавань,48.9664966,140.285174,27712,1853
Хабаровск,48.4647258,135.0598942,577668,1858
Абаза,52.6516647,90.0885686,17111,1867
Абакан,53.7223325,91.4436721,165183,1734
Саяногорск,53.1008083,91.4122454,49889,1975
Сорск,54.0002888,90.2594446,12140,1940
Черногорск,53.8259342,91.3260229,72117,1936
Белоярский,63.7121099,66.6772226,20283,1969
Когалым,62.2639527,74.4829794,58192,1975
Лангепас,61.2536939,75.1807763,41675,1980
Лянтор,61.6392863,72.179409,38922,1932
Мегион,61.0318712,76.1025878,49471,1810
Нефтеюганск,61.0882676,72.6164079,123276,1961
Нижневартовск,60.9396698,76.5696184,251860,1909
Нягань,62.1454701,65.3946047,54903,1965
Покачи,61.7422169,75.5941517,17053,1984
Пыть-Ях,60.7585833,72.8365617,41453,1968
Радужный,62.1342888,77.4584094,43394,1973
Советский,61.3706913,63.5667222,26434,1963
Сургут,61.2541083,73.3961587,306703,1594
Урай,60.1296954,64.8038508,39435,1922
Ханты-Мансийск,61.0023984,69.0184798,79410,1582
Югорск,61.3123568,63.3365484,34066,1962
Аша,54.9906527,57.2783953,31916,1898
Бакал,54.9406399,58.8051698,20953,1757
Верхнеуральск,53.8760961,59.2169852,9459,1734
Верхний Уфалей,56.0487158,60.2318886,30504,1761
Еманжелинск,54.7554548,61.3243477,30218,1931
Златоуст,55.1714905,59.6725549,174985,1754
Карабаш,55.4852323,60.2358881,13151,1822
Карталы,53.0536197,60.6478408,29136,1810
Касли,55.8868784,60.7421663,16998,1747
Катав-Ивановск,54.7521438,58.1983648,17640,1755
Копейск,55.116665,61.6179185,137604,1907
Коркино,54.8903147,61.4034576,38950,1795
Куса,55.3386053,59.4385778,18792,1778
Кыштым,55.7061276,60.5563781,38950,1757
Магнитогорск,53.4072153,58.9791437,408401,1929
Миасс,55.0456457,60.1077572,151812,1773
Миньяр,55.0709557,57.548478,10195,1771
Нязепетровск,56.0536895,59.6097202,12452,1747
Озерск,55.763154,60.7076198,82268,1945
Пласт,54.3692764,60.8151894,17344,1940
Сатка,55.0405288,59.0288975,45465,1758
Сим,54.9907827,57.6900155,14465,1759
Снежинск,56.0851495,60.7324914,48896,1957
Трехгорный,54.8178249,58.4464194,33678,1952
Троицк,54.0843745,61.5586831,78637,1743
Усть-Катав,54.9260812,58.152805,23586,1758
Чебаркуль,54.9818567,60.3773121,43405,1736
Челябинск,55.1602624,61.4008078,1130273,1736
Южноуральск,54.448927,61.2581158,37890,1948
Юрюзань,54.854662,58.4226698,12568,1758
Анадырь,64.7313924,177.5015421,13053,1889
Билибино,68.0584191,166.4388172,5504,1955
Певек,69.7016661,170.2999022,4161,1933
Алдан,58.6094283,125.3817188,21277,1924
Верхоянск,67.5502451,133.390735,1311,1638
Вилюйск,63.7517616,121.627284,10233,1634
Ленск,60.7276196,114.9548255,24955,1663
Мирный,62.536232,113.9667728,37179,1955
Нерюнгри,56.6599953,124.7202403,61746,1975
Нюрба,63.2828955,118.3242437,10156,1824
Олекминск,60.3758006,120.4060878,9487,1635
Покровск,61.4843503,129.1482392,9495,1682
Среднеколымск,67.4582218,153.7069425,3525,1643
Томмот,58.9586859,126.2875462,8054,1923
Удачный,66.4071765,112.3061555,12611,1967
Якутск,62.0281405,129.7325887,269486,1632
Губкинский,64.4457594,76.4713274,23340,1986
Лабытнанги,66.6592841,66.3883009,26948,1890
Муравленко,63.7940552,74.4948635,33401,1984
Надым,65.5377966,72.5182736,46550,1597
Новый Уренгой,66.0839433,76.6809681,104144,1975
Ноябрьск,63.2018039,75.4510581,110572,1976
Салехард,66.5492077,66.6085318,42494,1595
Тарко-Сале,64.9118803,77.7610236,20372,1932
